 T =  300.0 K
 Configuration with maximum probability:            2
 Configuration with minimum probability:         2853

         m  omega(m)         Sd(m)      ene(m)       Ed(m)        p(m)
       260        12  0.214133E-03  -7726.7448  -7726.8091      0.0000
       261        12  0.214133E-03  -7726.8893  -7726.9535      0.0000
       262        12  0.214133E-03  -7727.0049  -7727.0691      0.0000
       263        12  0.214133E-03  -7726.9714  -7727.0356      0.0000
       264        12  0.214133E-03  -7727.0189  -7727.0832      0.0000
       265        12  0.214133E-03  -7726.3060  -7726.3702      0.0000
       266        12  0.214133E-03  -7726.7516  -7726.8158      0.0000
       267        12  0.214133E-03  -7726.7709  -7726.8352      0.0000
       268        12  0.214133E-03  -7726.7524  -7726.8166      0.0000
       269        12  0.214133E-03  -7726.7927  -7726.8570      0.0000
       270        12  0.214133E-03  -7726.7331  -7726.7973      0.0000
       271        12  0.214133E-03  -7726.0546  -7726.1188      0.0000
       272        12  0.214133E-03  -7726.6542  -7726.7184      0.0000
       273        12  0.214133E-03  -7726.7056  -7726.7699      0.0000
       274        12  0.214133E-03  -7726.6695  -7726.7337      0.0000
       275        12  0.214133E-03  -7726.7003  -7726.7646      0.0000
       276        12  0.214133E-03  -7726.6941  -7726.7583      0.0000
       277        12  0.214133E-03  -7726.1004  -7726.1647      0.0000
       278        12  0.214133E-03  -7726.0920  -7726.1562      0.0000
       279        12  0.214133E-03  -7726.1906  -7726.2548      0.0000
       280        12  0.214133E-03  -7726.1764  -7726.2406      0.0000
       281        12  0.214133E-03  -7726.1814  -7726.2456      0.0000
       282        12  0.214133E-03  -7726.2000  -7726.2642      0.0000
       283        12  0.214133E-03  -7726.1302  -7726.1945      0.0000
       284        12  0.214133E-03  -7727.2685  -7727.3328      0.0000
       285        12  0.214133E-03  -7727.3430  -7727.4072      0.0000
       286        12  0.214133E-03  -7727.3633  -7727.4276      0.0000
       287        12  0.214133E-03  -7727.3563  -7727.4205      0.0000
       288        12  0.214133E-03  -7726.7723  -7726.8366      0.0000
       289        12  0.214133E-03  -7727.3535  -7727.4177      0.0000
       290        12  0.214133E-03  -7726.9023  -7726.9665      0.0000
       291        12  0.214133E-03  -7727.3259  -7727.3901      0.0000
       292        12  0.214133E-03  -7726.8255  -7726.8897      0.0000
       293        12  0.214133E-03  -7727.3031  -7727.3673      0.0000
       294        12  0.214133E-03  -7727.2322  -7727.2964      0.0000
       295        12  0.214133E-03  -7726.5782  -7726.6425      0.0000
       296        12  0.214133E-03  -7727.1220  -7727.1862      0.0000
       297        12  0.214133E-03  -7727.1122  -7727.1764      0.0000
       298        12  0.214133E-03  -7727.1597  -7727.2239      0.0000
       299        12  0.214133E-03  -7727.1599  -7727.2241      0.0000
       300        12  0.214133E-03  -7726.5653  -7726.6296      0.0000
       301        12  0.214133E-03  -7727.1162  -7727.1804      0.0000
       302        12  0.214133E-03  -7726.6328  -7726.6970      0.0000
       303        12  0.214133E-03  -7727.1327  -7727.1969      0.0000
       304        12  0.214133E-03  -7726.7287  -7726.7930      0.0000
       305        12  0.214133E-03  -7727.1245  -7727.1887      0.0000
       306        12  0.214133E-03  -7727.1536  -7727.2178      0.0000
       307        12  0.214133E-03  -7726.5537  -7726.6179      0.0000
       308        12  0.214133E-03  -7727.0449  -7727.1091      0.0000
       309        12  0.214133E-03  -7727.0247  -7727.0889      0.0000
       310        12  0.214133E-03  -7727.0251  -7727.0893      0.0000
       311        12  0.214133E-03  -7727.0719  -7727.1361      0.0000
       312        12  0.214133E-03  -7726.5882  -7726.6524      0.0000
       313        12  0.214133E-03  -7727.0486  -7727.1128      0.0000
       314        12  0.214133E-03  -7726.4476  -7726.5119      0.0000
       315        12  0.214133E-03  -7727.0435  -7727.1078      0.0000
       316        12  0.214133E-03  -7726.5945  -7726.6588      0.0000
       317        12  0.214133E-03  -7727.0331  -7727.0974      0.0000
       318        12  0.214133E-03  -7727.0488  -7727.1130      0.0000
       319        12  0.214133E-03  -7726.3144  -7726.3786      0.0000
       320        12  0.214133E-03  -7726.5251  -7726.5894      0.0000
       321        12  0.214133E-03  -7726.5506  -7726.6148      0.0000
       322        12  0.214133E-03  -7726.5513  -7726.6155      0.0000
       323        12  0.214133E-03  -7726.5724  -7726.6367      0.0000
       324        12  0.214133E-03  -7726.5418  -7726.6061      0.0000
       325        12  0.214133E-03  -7726.5595  -7726.6237      0.0000
       326        12  0.214133E-03  -7726.4515  -7726.5157      0.0000
       327        12  0.214133E-03  -7726.5619  -7726.6261      0.0000
       328        12  0.214133E-03  -7726.5382  -7726.6025      0.0000
       329        12  0.214133E-03  -7726.5497  -7726.6140      0.0000
       330        12  0.214133E-03  -7726.5124  -7726.5766      0.0000
       331        12  0.214133E-03  -7727.6095  -7727.6737      0.0000
