 T =  300.0 K
 Configuration with maximum probability:            3
 Configuration with minimum probability:          161

         m  omega(m)         Sd(m)      ene(m)       Ed(m)        p(m)
       136        12  0.214133E-03  -7733.1486  -7733.2129      0.0000
       137         6  0.154402E-03  -7733.1852  -7733.2315      0.0000
       138        12  0.214133E-03  -7733.1444  -7733.2086      0.0000
       139         6  0.154402E-03  -7733.1521  -7733.1984      0.0000
       140         6  0.154402E-03  -7733.1279  -7733.1742      0.0000
       141         6  0.154402E-03  -7733.1128  -7733.1591      0.0000
       142         6  0.154402E-03  -7732.6129  -7732.6592      0.0000
       143         6  0.154402E-03  -7733.1540  -7733.2003      0.0000
       144         6  0.154402E-03  -7733.1071  -7733.1534      0.0000
       145        12  0.214133E-03  -7732.5302  -7732.5944      0.0000
       146        12  0.214133E-03  -7732.6528  -7732.7170      0.0000
       147        12  0.214133E-03  -7732.6323  -7732.6966      0.0000
       148        12  0.214133E-03  -7732.6365  -7732.7007      0.0000
       149        12  0.214133E-03  -7732.6997  -7732.7639      0.0000
       150        12  0.214133E-03  -7732.6420  -7732.7062      0.0000
       151        12  0.214133E-03  -7732.6354  -7732.6996      0.0000
       152        12  0.214133E-03  -7732.6131  -7732.6773      0.0000
       153        12  0.214133E-03  -7732.6519  -7732.7161      0.0000
       154        12  0.214133E-03  -7732.6714  -7732.7356      0.0000
       155        12  0.214133E-03  -7732.6295  -7732.6938      0.0000
       156        12  0.214133E-03  -7732.6722  -7732.7365      0.0000
       157        12  0.214133E-03  -7732.1368  -7732.2011      0.0000
       158         6  0.154402E-03  -7732.1320  -7732.1783      0.0000
       159        12  0.214133E-03  -7732.0852  -7732.1495      0.0000
       160         6  0.154402E-03  -7732.1288  -7732.1751      0.0000
       161         6  0.154402E-03  -7731.9236  -7731.9699      0.0000
       162         6  0.154402E-03  -7732.1170  -7732.1633      0.0000
       163         6  0.154402E-03  -7732.0428  -7732.0891      0.0000
       164         6  0.154402E-03  -7732.1344  -7732.1808      0.0000
       165         6  0.154402E-03  -7732.1607  -7732.2070      0.0000


